human_37,植株萃取机器人,"在卡瓦兰这颗繁盛的星球上，一款名为""植株萃取机器人""的高科技产品在探险家和科学家之间广受欢迎。这款机器人拥有独特的生物识别系统，能够在茂密的雨林中迅速定位并提取稀有植株。

Flavour text:
在卡瓦兰星球的腹地，植株萃取机器人在密布的绿色迷雾中穿梭，它的触手轻柔地抚摸着那些奇特的植被，从中提取珍贵的资源。在这片繁荣的土地上，它是探险家们的得力助手，也是科学家们的无价宝藏。"
human_38,卡瓦兰物流外骨骼,"在卡瓦兰茂密的雨林中，勇敢的探险者们必须面对重重困难。为了在这片危机四伏的土地上生存下去，他们依赖一种名为""卡瓦兰物流外骨骼""的高科技装置。

这套外骨骼装备为探险者们提供了强大的力量和敏捷性，使他们能够在林间跳跃、攀爬，甚至在必要时与那些巨大的昆虫和活化植物展开激战。卡瓦兰物流外骨骼的设计灵感来自于这片星球独特的生态系统，它的外形模仿了当地一种名为""钢铁蜘蛛""的巨型昆虫，以便更好地适应这片土地的生存法则。

卡瓦兰物流外骨骼的Flavour text：

""在卡瓦兰的丛林深处，智慧与力量并存，生存与死亡只在一线之间。卡瓦兰物流外骨骼，为探险者们带来了新的希望，让他们在这片神秘星球上勇往直前。"""
human_39,“暴雨”水银投放车,在卡瓦兰繁盛的雨林深处，暴雨水银投放车是探险家和勘探者们的得力助手。这种充满未来科技感的车辆，以其强大的越野能力和稳定的气候适应性在茂密丛林中穿梭自如。暴雨水银投放车的名字来源于其独特的功能：在遇到危险时，它能迅速释放出一种名为“水银”的特殊物质，形成一道保护罩，将车辆与周围的植被、巨型昆虫等生物隔离开来。如同暴雨般的降临，让探险者们在卡瓦兰星球的探险之旅充满了信心和安全感。在这片神秘的土地上，暴雨水银投放车成为了勇敢的探险家们的得力伙伴，共同揭开卡瓦兰星球的奥秘。
human_36,卡瓦兰建筑工,"卡瓦兰建筑工 - 卡牌背景描述：

在卡瓦兰这片神秘的星球上，建筑工们以其无与伦比的技艺和勇气，挑战着茂密雨林和巨型昆虫的严峻考验。他们凭借着对自然的敬畏和对家园的热爱，建造起了一座座坚固的树屋和宏伟的悬空城堡，为这片危机四伏的土地带来了一丝安宁与希望。

""在卡瓦兰，我们的建筑工不仅是技艺高超的匠人，更是勇敢的探险家。他们在这片充满生机与危险的土地上，为我们筑起了家园与庇护所。"""
human_34,护甲整备师,护甲整备师，卡瓦兰雨林中一种独特的职业。他们精通利用当地奇异植被与昆虫甲壳制作坚固而轻便的护甲。在这个充满危险的星球上，他们的技艺成为了探险者与战士们的守护神。传闻中，最顶级的护甲整备师甚至可以制作出能抵挡巨型食肉植物和剧毒昆虫的攻击的护甲。在卡瓦兰，护甲整备师的地位崇高且备受尊敬，他们的作品被视为艺术品和珍贵的战利品。
human_35,临时工厂,"临时工厂，卡瓦兰星球上一座神秘而富有传奇色彩的建筑。这座工厂隐藏在茂密雨林的深处，由奇怪的活化植被和巨型昆虫共同维护。在这个充满活力的生态系统中，临时工厂运用着千百年来积累的智慧，将这颗星球上独特的资源转化为强大的力量。

传言，这座工厂的主人是一位来自遥远星系的智者，他操控着这片广袤的雨林，将这里打造成了一个生机勃勃的乌托邦。然而，工厂的真正目的却始终隐藏在迷雾之中，让人无法窥探。

在卡瓦兰星球上，临时工厂成为了一个传奇般的存在。探险家们梦想着能够找到这座隐藏在雨林深处的工厂，揭开它神秘的面纱，解锁那些被遗忘的力量。然而，无数次的探险都以失败告终，使得临时工厂成为了卡瓦兰星球上最令人神往的传说之一。"
human_31,卡瓦兰通信工程师,"卡瓦兰通信工程师 - ""在这片广袤无垠的雨林之中，通信成为了生存的关键。卡瓦兰通信工程师们凭借着他们的智慧与技艺，穿梭于密布的活化植被和巨型昆虫之间，为探险者们搭建起一道道光明的通路。在这充满危险与未知的星球上，他们的存在就如同一盏指引前行的明灯。"""
human_32,卡瓦兰教官,卡瓦兰教官，一位在茂密雨林中征服恐惧、驯服巨型昆虫的勇敢战士。他的智慧与勇气使他成为了卡瓦兰生态系统中最尊敬的导师。在这片充满神秘的土地上，卡瓦兰教官将指引你跨越未知，破解危险的奥秘，掌控生态中的主宰力量。
human_33_1,不结实的无人机,"在卡瓦兰这片神秘的星球上，一种名为“不结实的无人机”的奇特生物翱翔于茂密的雨林之中。这些生物形态酷似地球上的昆虫，却拥有令人难以置信的智慧和敏捷。

不结实的无人机以其轻巧的身躯和快速的反应速度而闻名。它们的翅膀如同薄膜般透明，闪烁着幽幽的绿光。在卡瓦兰浓密的树林中，它们轻盈地穿梭于枝叶间，捕捉着那些无法逃脱的猎物。

然而，这些不结实的无人机也有着明显的弱点。它们的身体脆弱，难以承受强大的攻击。一旦遭遇危险，它们会立刻采取躲避策略，借助高湿度和茂密的植被迅速消失在丛林深处。

在卡瓦兰星球上，不结实的无人机成为了一种独特的象征。它们展示了生命在这片土地上如何适应和演化，以应对恶劣的环境和凶猛的竞争。尽管它们的生存之道充满挑战，但不结实的无人机依然在这片广袤的星球上繁衍生息，传颂着卡瓦兰神秘的生命奥秘。"
human_29,卡瓦兰生化小组,"卡瓦兰生化小组，一群勇敢的科学家和探险家，深入这片诡异的雨林，试图解锁卡瓦兰星球的奥秘。在这片充满巨型昆虫和活化植被的世界里，他们不仅要面对恶劣的环境，还要努力研究如何利用这些奇特生物来改善其他星球的生态环境。

""在卡瓦兰的茂密雨林中，危险与机遇共存。我们，卡瓦兰生化小组，誓要揭示这片星球的秘密，为全宇宙的生态平衡做出贡献。"" ——卡瓦兰生化小组队长，艾尔·索瑞克"
